outlet,year,articleCount,totalWords,threat_crisis_raw_hits,threat_crisis_per_million_words,threat_crisis_article_matches,control_legality_raw_hits,control_legality_per_million_words,control_legality_article_matches,humanitarian_raw_hits,humanitarian_per_million_words,humanitarian_article_matches,integration_economy_raw_hits,integration_economy_per_million_words,integration_economy_article_matches
guardian,2000,330,231381,442,1910.2692,172,1153,4983.1231,246,5375,23230.0837,319,1028,4442.8886,225
guardian,2001,479,372693,735,1972.1326,259,2169,5819.8034,363,8870,23799.7494,475,1670,4480.8998,349
guardian,2002,439,298533,535,1792.0967,224,2170,7268.8781,332,6848,22938.8376,431,1397,4679.5497,296
guardian,2003,414,280125,474,1692.1017,210,1673,5972.3338,319,7520,26845.1584,402,1369,4887.104,272
guardian,2004,397,276013,453,1641.227,202,1864,6753.3051,314,4407,15966.6393,369,2003,7256.9046,277
guardian,2005,353,250403,352,1405.734,161,2262,9033.4381,300,4406,17595.6358,338,1584,6325.8028,244
guardian,2006,332,235969,424,1796.8462,165,2232,9458.8696,263,2823,11963.4359,283,1615,6844.1194,231
guardian,2007,395,276177,502,1817.6749,203,2224,8052.8067,311,3490,12636.8235,349,2495,9034.0615,310
guardian,2008,292,223528,352,1574.7468,146,1603,7171.3611,239,2678,11980.602,235,2136,9555.8498,221
guardian,2009,227,150239,262,1743.8881,104,1608,10702.9466,188,2378,15828.1139,201,1213,8073.8024,165
guardian,2010,312,257206,278,1080.8457,129,2576,10015.3185,280,3933,15291.2451,276,1768,6873.8676,227
guardian,2011,249,201361,325,1614.0166,129,1750,8690.8587,203,2438,12107.6077,217,1493,7414.544,187
guardian,2012,278,219773,308,1401.446,126,1992,9063.8977,231,2750,12512.911,250,1300,5915.1943,188
guardian,2013,427,433353,692,1596.8506,216,2587,5969.7291,336,3928,9064.204,366,3699,8535.7665,332
guardian,2014,434,494709,808,1633.2834,270,2432,4916.0213,332,4117,8322.0641,384,3916,7915.7646,361
guardian,2015,871,1094994,3897,3558.9236,679,3509,3204.5838,580,14925,13630.2117,818,5766,5265.7823,696
guardian,2016,992,1109894,2524,2274.091,674,3230,2910.1878,629,16994,15311.3721,907,6547,5898.7615,798
guardian,2017,528,555714,897,1614.1396,294,2854,5135.7353,393,7723,13897.4365,477,3316,5967.0982,424
guardian,2018,618,608916,1003,1647.1894,355,5180,8506.9205,513,6526,10717.406,555,3596,5905.5765,502
guardian,2019,379,344374,591,1716.1574,216,2659,7721.2565,311,4742,13769.9129,347,1845,5357.5473,287
guardian,2020,429,434025,1090,2511.3761,289,2897,6674.7307,345,6220,14330.9717,403,2303,5306.146,308
guardian,2021,446,405864,1339,3299.1347,326,2273,5600.3982,343,7606,18740.2677,432,1462,3602.1919,320
guardian,2022,670,747414,2618,3502.7441,507,5586,7473.7696,564,12240,16376.4661,648,2533,3389.0187,484
guardian,2023,895,979113,3090,3155.9177,675,7363,7520.0717,717,16962,17323.8431,865,3956,4040.3917,660
guardian,2024,545,591731,1423,2404.8089,384,4860,8213.1915,471,8581,14501.5218,529,2576,4353.3295,407
guardian,2025,672,839103,2262,2695.7358,492,4783,5700.1345,559,12003,14304.5609,650,4741,5650.0811,536
guardian,2026,167,165472,410,2477.7606,119,1199,7245.9389,142,2465,14896.7801,164,1050,6345.4844,137
