outlet,year,articleCount,totalWords,threat_crisis_raw_hits,threat_crisis_per_million_words,threat_crisis_article_matches,control_legality_raw_hits,control_legality_per_million_words,control_legality_article_matches,humanitarian_raw_hits,humanitarian_per_million_words,humanitarian_article_matches,integration_economy_raw_hits,integration_economy_per_million_words,integration_economy_article_matches
telegraph,2000,118,53750,107,1990.6977,31,304,5655.814,48,1124,20911.6279,91,113,2102.3256,37
telegraph,2001,216,177261,359,2025.2622,102,1259,7102.5211,158,3394,19146.9077,194,686,3869.9996,126
telegraph,2002,229,190055,282,1483.781,91,1232,6482.3341,166,3992,21004.4461,213,691,3635.7896,134
telegraph,2003,174,166890,248,1486.0087,59,969,5806.2197,123,3952,23680.2684,161,647,3876.8051,100
telegraph,2004,156,138297,210,1518.4711,70,868,6276.3473,111,1581,11431.9183,126,779,5632.8048,101
telegraph,2005,164,145830,276,1892.6147,82,1001,6864.1569,113,1898,13015.1546,130,878,6020.709,111
telegraph,2006,193,166489,240,1441.5367,77,1314,7892.4133,133,1261,7574.074,144,1198,7195.6706,134
telegraph,2007,192,158792,241,1517.7087,75,826,5201.7734,112,1217,7664.1141,130,1413,8898.4332,142
telegraph,2008,156,122984,201,1634.3589,74,767,6236.5836,90,700,5691.7973,100,1351,10985.1688,114
telegraph,2009,128,97215,213,2191.0199,57,640,6583.3462,79,901,9268.1171,99,861,8856.6579,85
telegraph,2010,251,171545,190,1107.5811,68,1501,8749.8907,193,1347,7852.1671,142,1348,7857.9964,165
telegraph,2011,275,177911,354,1989.7589,114,1460,8206.3504,187,2083,11708.1012,199,1295,7278.9204,170
telegraph,2012,310,205686,311,1512.0135,109,2247,10924.4188,244,1849,8989.4305,225,1278,6213.3543,175
telegraph,2013,453,310789,515,1657.0728,188,2196,7065.8871,287,2514,8089.0894,311,2819,9070.4626,324
telegraph,2014,432,313998,536,1707.0172,199,1770,5636.9786,271,1820,5796.2153,274,2542,8095.593,304
telegraph,2015,514,387778,1497,3860.4562,330,1640,4229.2239,297,4198,10825.7818,413,2314,5967.3318,356
telegraph,2016,575,412503,1068,2589.0721,299,1564,3791.4876,330,4243,10285.9858,431,2283,5534.5052,356
telegraph,2017,318,207833,313,1506.0169,129,1007,4845.2363,185,1409,6779.4816,210,1128,5427.4345,195
telegraph,2018,310,195333,423,2165.5327,136,1196,6122.8773,211,1391,7121.1726,223,1060,5426.6304,190
telegraph,2019,265,146442,454,3100.2035,150,851,5811.1744,164,1022,6978.8722,171,608,4151.8144,117
telegraph,2020,338,200388,831,4146.9549,227,1559,7779.907,235,1902,9491.5863,234,739,3687.8456,134
telegraph,2021,458,289289,1267,4379.7033,320,1742,6021.66,304,3009,10401.3633,359,1226,4237.9766,223
telegraph,2022,676,461247,1912,4145.2844,480,3513,7616.3097,509,5945,12888.9727,569,2028,4396.7766,402
telegraph,2023,759,532257,1987,3733.159,546,4968,9333.8368,588,5880,11047.2948,652,2645,4969.4039,472
telegraph,2024,744,541442,1806,3335.5373,490,5506,10169.1409,618,5491,10141.4371,603,2999,5538.9128,430
telegraph,2025,1052,774878,2373,3062.4176,639,7541,9731.8546,855,10076,13003.3373,913,3890,5020.1451,691
telegraph,2026,271,190697,601,3151.5965,143,1578,8274.9073,212,1834,9617.3511,206,822,4310.503,153
